length,gc_content,blast_score,bit_score
1660,0.35,1557.0,2876.35
1664,0.36899038461538464,1557.0,2876.35
1655,0.3824773413897281,1557.0,2876.35
1656,0.38405797101449274,1557.0,2876.35
1656,0.37922705314009664,1557.0,2876.35
1675,0.37791044776119403,1557.0,2876.35
1661,0.3841059602649007,1557.0,2876.35
1669,0.3451168364289994,1557.0,2876.35
1676,0.3937947494033413,1557.0,2876.35
1655,0.3915407854984894,1557.0,2876.35
1676,0.4009546539379475,1557.0,2876.35
1650,0.4103030303030303,1557.0,2876.35
1648,0.40898058252427183,1557.0,2876.35
1677,0.40966010733452596,1557.0,2876.35
1652,0.4092009685230024,1557.0,2876.35
1677,0.4013118664281455,1557.0,2876.35
1661,0.4003612281757977,1557.0,2876.35
1676,0.4051312649164678,1557.0,2876.35
1658,0.4089264173703257,1557.0,2876.35
1656,0.39371980676328505,1557.0,2876.35
1673,0.41243275552898984,1557.0,2876.35
1654,0.4226118500604595,1557.0,2876.35
1670,0.4,1557.0,2876.35
1666,0.40516206482593037,1557.0,2876.35
1669,0.40023966446974235,1557.0,2876.35
1671,0.3907839616995811,1557.0,2876.35
1672,0.4001196172248804,1557.0,2876.35
1651,0.39067231980617806,1557.0,2876.35
1655,0.4030211480362538,1557.0,2876.35
1671,0.400359066427289,1557.0,2876.35
1679,0.33234067897558073,1557.0,2876.35
1674,0.33811230585424135,1557.0,2876.35
1678,0.3295589988081049,1557.0,2876.35
1675,0.33313432835820894,1557.0,2876.35
1674,0.33512544802867383,1557.0,2876.35
1675,0.3295522388059702,1557.0,2876.35
1675,0.3337313432835821,1557.0,2876.35
1682,0.34780023781212843,1557.0,2876.35
1651,0.34766807995154453,1553.0,2868.97
1661,0.34677904876580373,1560.0,2881.89
1660,0.372289156626506,1557.0,2876.35
1655,0.36012084592145016,1557.0,2876.35
1657,0.38020519010259507,1557.0,2876.35
1677,0.39296362552176506,1557.0,2876.35
1657,0.3621001810500905,1557.0,2876.35
1683,0.38146167557932265,1557.0,2876.35
1661,0.38711619506321493,1563.0,2887.43
1666,0.38115246098439376,1560.0,2881.89
1651,0.43367655966081164,1554.0,2870.81
1667,0.4013197360527894,1554.0,2870.81
1653,0.37689050211736236,1557.0,2876.35
1678,0.38617401668653156,1554.0,2870.81
1663,0.3710162357185809,1557.0,2876.35
1668,0.3998800959232614,1557.0,2876.35
1652,0.4443099273607748,1554.0,2870.81
1651,0.44579043004239854,1554.0,2870.81
1675,0.4394029850746269,1554.0,2870.81
1654,0.45163240628778717,1554.0,2870.81
1676,0.4451073985680191,1554.0,2870.81
1660,0.4427710843373494,1554.0,2870.81
1656,0.4444444444444444,1554.0,2870.81
1677,0.43768634466308887,1554.0,2870.81
1686,0.44661921708185054,1554.0,2870.81
1655,0.45377643504531723,1554.0,2870.81
