ID,Gene_ID
Erinaceus_europaeus,64985432
Cynopterus_sphinx,54094913
Eidolon_helvum,54114053
Rousettus_leschenaultii,54094989
Rousettus_madagascariensis,54114775
Epomops_buettikoferi,54105241
Micropteropus_pusillus,54114471
Hipposideros_larvatus,71432635
Hipposideros_pomona,71461803
Rhinolophus_marshalli,71462818
Molossus_molossus,74550801
Myotis_lucifugus,27214805
Myotis_myotis,26889513
Myotis_septentrionalis,56138900
Myotis_thysanodes,34949912
Nyctalus_noctula,24572233
Nyctalus_plancyi,39337182
Pipistrellus_pipistrellus,89917734
Manis_crassicaudata,35117615
Manis_pentadactyla,70604380
Smutsia_gigantea,34726181
Panthera_leo,26129518
Catopuma_temminckii,24286845
Pardofelis_marmorata,26129556
Caracal_caracal,26129670
Leptailurus_serval,26130050
Profelis_aurata,26129405
Leopardus_pardalis,26130012
Leopardus_wiedii,26130126
